classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
475743756,lalubko,2585962,fb0a03e2cdacf1b1a277,23784,find satellite/meteor,11.7,2023-03-20 21:52:04 UTC,,,"{""source"":""api"",""session"":""624f22129b62eb6b19d00ca19604b1e5c879c7a41e4352e406c0c5a17d9f0aeb"",""viewport"":{""width"":1920,""height"":927},""started_at"":""2023-03-20T21:51:51.455Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"",""utc_offset"":""-3600"",""finished_at"":""2023-03-20T21:52:04.320Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1112,""clientHeight"":834,""naturalWidth"":1280,""naturalHeight"":960}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-03-20T21:51:51.351Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""63162""}","[{""task"":""T1"",""task_label"":""Explain what to draw."",""value"":[{""x"":795.0521240234375,""y"":508.5556945800781,""tool"":1,""frame"":0,""width"":37.97198486328125,""height"":63.286590576171875,""details"":[],""tool_label"":""Meteor""},{""x"":701.8482666015625,""y"":109.27484893798828,""tool"":0,""frame"":0,""width"":41.4239501953125,""height"":32.21862030029297,""details"":[],""tool_label"":""Satellite""}]}]","{""86468273"":{""retired"":null,""Filename"":""20160826_002115_AGO.jpg""}}",86468273
475743814,lalubko,2585962,fb0a03e2cdacf1b1a277,23784,find satellite/meteor,11.7,2023-03-20 21:52:12 UTC,,,"{""source"":""api"",""session"":""624f22129b62eb6b19d00ca19604b1e5c879c7a41e4352e406c0c5a17d9f0aeb"",""viewport"":{""width"":1920,""height"":927},""started_at"":""2023-03-20T21:52:05.551Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"",""utc_offset"":""-3600"",""finished_at"":""2023-03-20T21:52:12.734Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1112,""clientHeight"":834,""naturalWidth"":1280,""naturalHeight"":960}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-03-20T21:51:51.351Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""63162""}","[{""task"":""T1"",""task_label"":""Explain what to draw."",""value"":[{""x"":938.8853759765625,""y"":731.7847900390625,""tool"":0,""frame"":0,""width"":31.06793212890625,""height"":42.5745849609375,""details"":[],""tool_label"":""Satellite""},{""x"":560.3164672851562,""y"":197.87606811523438,""tool"":1,""frame"":0,""width"":96.6558837890625,""height"":134.62783813476562,""details"":[],""tool_label"":""Meteor""}]}]","{""86468237"":{""retired"":null,""Filename"":""20160811_211128_AGO.jpg""}}",86468237
475743904,lalubko,2585962,fb0a03e2cdacf1b1a277,23784,find satellite/meteor,11.7,2023-03-20 21:52:34 UTC,,,"{""source"":""api"",""session"":""624f22129b62eb6b19d00ca19604b1e5c879c7a41e4352e406c0c5a17d9f0aeb"",""viewport"":{""width"":1920,""height"":927},""started_at"":""2023-03-20T21:52:13.299Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"",""utc_offset"":""-3600"",""finished_at"":""2023-03-20T21:52:34.654Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1112,""clientHeight"":834,""naturalWidth"":1280,""naturalHeight"":960}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-03-20T21:51:51.351Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""63162""}","[{""task"":""T1"",""task_label"":""Explain what to draw."",""value"":[{""x"":936.5840454101562,""y"":576.4449462890625,""tool"":0,""frame"":0,""width"":28.7666015625,""height"":28.7666015625,""details"":[],""tool_label"":""Satellite""},{""x"":883.6533203125,""y"":677.7035522460938,""tool"":0,""frame"":0,""width"":23.0133056640625,""height"":31.06793212890625,""details"":[],""tool_label"":""Satellite""},{""x"":776.6414794921875,""y"":594.8555908203125,""tool"":0,""frame"":0,""width"":31.0679931640625,""height"":27.615966796875,""details"":[],""tool_label"":""Satellite""},{""x"":839.9281005859375,""y"":865.261962890625,""tool"":0,""frame"":0,""width"":24.16400146484375,""height"":23.0133056640625,""details"":[],""tool_label"":""Satellite""},{""x"":780.093505859375,""y"":884.8232421875,""tool"":0,""frame"":0,""width"":21.8626708984375,""height"":23.0133056640625,""details"":[],""tool_label"":""Satellite""},{""x"":776.6415405273438,""y"":408.44781494140625,""tool"":1,""frame"":0,""width"":79.39593505859375,""height"":69.0399169921875,""details"":[],""tool_label"":""Meteor""}]}]","{""86468361"":{""retired"":null,""Filename"":""20161203_041709_AGO.jpg""}}",86468361
475743952,lalubko,2585962,fb0a03e2cdacf1b1a277,23784,find satellite/meteor,11.7,2023-03-20 21:52:45 UTC,,,"{""source"":""api"",""session"":""624f22129b62eb6b19d00ca19604b1e5c879c7a41e4352e406c0c5a17d9f0aeb"",""viewport"":{""width"":1920,""height"":927},""started_at"":""2023-03-20T21:52:35.343Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"",""utc_offset"":""-3600"",""finished_at"":""2023-03-20T21:52:45.526Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1112,""clientHeight"":834,""naturalWidth"":1280,""naturalHeight"":960}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-03-20T21:51:51.351Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""63162""}","[{""task"":""T1"",""task_label"":""Explain what to draw."",""value"":[{""x"":538.453857421875,""y"":358.9692077636719,""tool"":0,""frame"":0,""width"":46.026611328125,""height"":24.163970947265625,""details"":[],""tool_label"":""Satellite""},{""x"":511.988525390625,""y"":852.6046142578125,""tool"":1,""frame"":0,""width"":26.46533203125,""height"":31.0679931640625,""details"":[],""tool_label"":""Meteor""}]}]","{""86468105"":{""retired"":null,""Filename"":""20211101_040825_KNM.jpg""}}",86468105
475744019,lalubko,2585962,fb0a03e2cdacf1b1a277,23784,find satellite/meteor,11.7,2023-03-20 21:52:59 UTC,,,"{""source"":""api"",""session"":""624f22129b62eb6b19d00ca19604b1e5c879c7a41e4352e406c0c5a17d9f0aeb"",""viewport"":{""width"":1920,""height"":927},""started_at"":""2023-03-20T21:52:46.502Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"",""utc_offset"":""-3600"",""finished_at"":""2023-03-20T21:52:59.110Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1112,""clientHeight"":834,""naturalWidth"":1280,""naturalHeight"":960}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-03-20T21:51:51.351Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""63162""}","[{""task"":""T1"",""task_label"":""Explain what to draw."",""value"":[{""x"":868.6947631835938,""y"":627.07421875,""tool"":0,""frame"":0,""width"":36.8212890625,""height"":48.32794189453125,""details"":[],""tool_label"":""Satellite""},{""x"":663.8763427734375,""y"":539.6236572265625,""tool"":1,""frame"":0,""width"":143.8331298828125,""height"":55.23193359375,""details"":[],""tool_label"":""Meteor""},{""x"":737.5189819335938,""y"":905.5352172851562,""tool"":0,""frame"":0,""width"":31.06793212890625,""height"":26.46533203125,""details"":[],""tool_label"":""Satellite""}]}]","{""86468427"":{""retired"":null,""Filename"":""20171213_185631_ARBO.jpg""}}",86468427
475744143,lalubko,2585962,fb0a03e2cdacf1b1a277,23784,find satellite/meteor,11.7,2023-03-20 21:53:21 UTC,,,"{""source"":""api"",""session"":""624f22129b62eb6b19d00ca19604b1e5c879c7a41e4352e406c0c5a17d9f0aeb"",""viewport"":{""width"":1920,""height"":927},""started_at"":""2023-03-20T21:52:59.637Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"",""utc_offset"":""-3600"",""finished_at"":""2023-03-20T21:53:21.710Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1112,""clientHeight"":834,""naturalWidth"":1280,""naturalHeight"":960}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-03-20T21:51:51.351Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""63162""}","[{""task"":""T1"",""task_label"":""Explain what to draw."",""value"":[{""x"":184.04891967773438,""y"":202.47872924804688,""tool"":0,""frame"":0,""width"":51.779937744140625,""height"":48.32794189453125,""details"":[],""tool_label"":""Satellite""},{""x"":705.30029296875,""y"":294.5319519042969,""tool"":0,""frame"":0,""width"":29.91729736328125,""height"":103.55987548828125,""details"":[],""tool_label"":""Satellite""},{""x"":869.845458984375,""y"":628.2249145507812,""tool"":0,""frame"":0,""width"":79.3958740234375,""height"":96.6558837890625,""details"":[],""tool_label"":""Satellite""},{""x"":891.7080688476562,""y"":757.0994262695312,""tool"":0,""frame"":0,""width"":81.69720458984375,""height"":74.793212890625,""details"":[],""tool_label"":""Satellite""},{""x"":975.7066650390625,""y"":632.8275756835938,""tool"":0,""frame"":0,""width"":36.8212890625,""height"":49.47857666015625,""details"":[],""tool_label"":""Satellite""},{""x"":345.1420593261719,""y"":215.13604736328125,""tool"":1,""frame"":0,""width"":74.79324340820312,""height"":47.177276611328125,""details"":[],""tool_label"":""Meteor""}]}]","{""86468179"":{""retired"":null,""Filename"":""20160801_204424_AGO.jpg""}}",86468179
475744189,lalubko,2585962,fb0a03e2cdacf1b1a277,23784,find satellite/meteor,11.7,2023-03-20 21:53:33 UTC,,,"{""source"":""api"",""session"":""624f22129b62eb6b19d00ca19604b1e5c879c7a41e4352e406c0c5a17d9f0aeb"",""viewport"":{""width"":1920,""height"":927},""started_at"":""2023-03-20T21:53:22.486Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"",""utc_offset"":""-3600"",""finished_at"":""2023-03-20T21:53:33.190Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1112,""clientHeight"":834,""naturalWidth"":1280,""naturalHeight"":960}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-03-20T21:51:51.351Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""63162""}","[{""task"":""T1"",""task_label"":""Explain what to draw."",""value"":[{""x"":471.7152404785156,""y"":659.2928466796875,""tool"":0,""frame"":0,""width"":28.766632080078125,""height"":26.46527099609375,""details"":[],""tool_label"":""Satellite""},{""x"":952.693359375,""y"":801.975341796875,""tool"":1,""frame"":0,""width"":34.5198974609375,""height"":27.615966796875,""details"":[],""tool_label"":""Meteor""}]}]","{""86468501"":{""retired"":null,""Filename"":""20171221_233418_ARBO.jpg""}}",86468501
475744271,lalubko,2585962,fb0a03e2cdacf1b1a277,23784,find satellite/meteor,11.7,2023-03-20 21:53:47 UTC,,,"{""source"":""api"",""session"":""624f22129b62eb6b19d00ca19604b1e5c879c7a41e4352e406c0c5a17d9f0aeb"",""viewport"":{""width"":1920,""height"":927},""started_at"":""2023-03-20T21:53:33.742Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"",""utc_offset"":""-3600"",""finished_at"":""2023-03-20T21:53:47.734Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1112,""clientHeight"":834,""naturalWidth"":1280,""naturalHeight"":960}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-03-20T21:51:51.351Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""63162""}","[{""task"":""T1"",""task_label"":""Explain what to draw."",""value"":[{""x"":395.7713317871094,""y"":757.0994262695312,""tool"":0,""frame"":0,""width"":55.23193359375,""height"":48.32794189453125,""details"":[],""tool_label"":""Satellite""},{""x"":925.077392578125,""y"":769.7567138671875,""tool"":1,""frame"":0,""width"":74.793212890625,""height"":50.6292724609375,""details"":[],""tool_label"":""Meteor""},{""x"":1096.5264892578125,""y"":520.0623168945312,""tool"":0,""frame"":0,""width"":20.7119140625,""height"":29.91729736328125,""details"":[],""tool_label"":""Satellite""}]}]","{""86468342"":{""retired"":null,""Filename"":""20161030_171401_AGO.jpg""}}",86468342
475744329,lalubko,2585962,fb0a03e2cdacf1b1a277,23784,find satellite/meteor,11.7,2023-03-20 21:53:58 UTC,,,"{""source"":""api"",""session"":""624f22129b62eb6b19d00ca19604b1e5c879c7a41e4352e406c0c5a17d9f0aeb"",""viewport"":{""width"":1920,""height"":927},""started_at"":""2023-03-20T21:53:48.197Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"",""utc_offset"":""-3600"",""finished_at"":""2023-03-20T21:53:57.848Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1112,""clientHeight"":834,""naturalWidth"":1280,""naturalHeight"":960}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-03-20T21:51:51.351Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""63162""}","[{""task"":""T1"",""task_label"":""Explain what to draw."",""value"":[{""x"":1071.2119140625,""y"":532.7196655273438,""tool"":0,""frame"":0,""width"":20.7119140625,""height"":31.0679931640625,""details"":[],""tool_label"":""Satellite""},{""x"":264.5954895019531,""y"":635.12890625,""tool"":1,""frame"":0,""width"":21.862640380859375,""height"":70.1905517578125,""details"":[],""tool_label"":""Meteor""}]}]","{""86468492"":{""retired"":null,""Filename"":""20171220_041306_ARBO.jpg""}}",86468492
475744443,lalubko,2585962,fb0a03e2cdacf1b1a277,23784,find satellite/meteor,11.7,2023-03-20 21:54:18 UTC,,,"{""source"":""api"",""session"":""624f22129b62eb6b19d00ca19604b1e5c879c7a41e4352e406c0c5a17d9f0aeb"",""viewport"":{""width"":1920,""height"":927},""started_at"":""2023-03-20T21:53:58.909Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"",""utc_offset"":""-3600"",""finished_at"":""2023-03-20T21:54:17.966Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":1112,""clientHeight"":834,""naturalWidth"":1280,""naturalHeight"":960}],""subject_selection_state"":{""retired"":false,""selected_at"":""2023-03-20T21:51:51.351Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""63162""}","[{""task"":""T1"",""task_label"":""Explain what to draw."",""value"":[{""x"":638.5618286132812,""y"":624.77294921875,""tool"":0,""frame"":0,""width"":32.2186279296875,""height"":23.0133056640625,""details"":[],""tool_label"":""Satellite""},{""x"":485.5232238769531,""y"":868.7139282226562,""tool"":1,""frame"":0,""width"":79.39590454101562,""height"":50.6292724609375,""details"":[],""tool_label"":""Meteor""}]}]","{""86468417"":{""retired"":null,""Filename"":""20171208_230112_ARBO.jpg""}}",86468417
